name,commits,branches,contributors,watchers,stargazers,forks,createdAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests
amundsen-io/amundsen,2559,88,207,247,3549,875,2019-05-14 03:12:40,2022-09-26 08:50:10,627,98,1336,18
fail2ban/fail2ban,5725,28,206,239,7581,1085,2011-09-28 04:24:20,2022-10-26 08:44:40,2049,120,1221,82
dbt-labs/dbt-core,5564,309,206,112,5397,972,2016-03-10 02:38:00,2022-08-29 07:16:08,3019,326,2521,32
open-mmlab/mmcv,1200,8,206,80,4172,1168,2018-08-22 07:05:26,2022-08-08 08:41:55,771,121,1401,61
conda/conda-build,7825,11,204,47,303,368,2014-01-17 06:46:21,2022-09-27 05:27:03,2329,584,2242,107
kivy/python-for-android,3629,19,204,346,7134,1630,2011-11-28 09:02:36,2022-10-03 10:43:02,1239,209,1432,42
emissary-ingress/emissary,17734,270,202,89,3882,626,2017-03-30 07:22:52,2022-09-26 12:23:23,1577,349,2971,70
kovidgoyal/kitty,10613,4,201,163,16435,764,2016-10-16 02:48:28,2022-10-29 01:11:41,4109,14,1058,13
jschneier/django-storages,1010,5,201,42,2284,786,2014-12-09 12:37:09,2022-11-21 06:42:11,605,163,589,38
aosp-mirror/platform_development,32148,357,200,307,2665,2656,2008-10-21 06:19:57,2022-08-08 12:32:38,0,0,26,1
tweepy/tweepy,2979,2,200,269,9130,4131,2009-07-06 04:15:34,2022-09-30 02:24:47,1168,57,543,19
pytorch/examples,687,35,200,398,19267,8949,2016-08-24 03:12:48,2022-11-21 06:00:21,566,140,520,26
getnikola/nikola,10293,5,199,81,2366,437,2012-04-14 01:53:22,2022-12-08 07:30:13,2107,45,1509,6
pyqtgraph/pyqtgraph,3371,2,199,148,2947,956,2013-09-12 07:18:21,2022-09-20 01:09:25,1049,328,1280,31
encode/starlette,1037,9,199,116,7390,665,2018-06-25 01:16:21,2022-09-16 03:42:23,630,31,1063,25
openstack/python-neutronclient,1714,12,198,26,163,216,2012-01-17 10:54:47,2022-10-28 11:17:21,0,0,8,0
atlassian-api/atlassian-python-api,1488,1,198,37,929,500,2014-05-07 10:26:26,2022-10-24 04:08:24,420,150,643,5
rpm-software-management/dnf,9521,45,197,56,1029,358,2012-03-09 03:31:09,2022-10-17 03:58:59,0,0,1850,21
python/python-docs-es,3853,56,197,19,193,303,2019-05-06 03:33:13,2022-10-16 05:41:15,718,17,1120,9
mkdocs/mkdocs,1787,5,197,233,15014,2080,2014-01-11 09:05:21,2022-09-30 01:56:00,1716,108,1066,11
angr/angr,11474,120,196,186,6094,942,2015-08-06 09:46:55,2022-09-18 07:51:30,1556,215,1970,58
nautobot/nautobot,8509,37,196,29,455,141,2021-02-19 10:00:19,2022-08-26 06:59:43,1151,409,1055,25
rosswhitfield/ase,20515,179,195,6,108,58,2015-11-13 02:32:18,2022-09-14 01:49:53,1,0,5,0
nipy/nipype,14642,18,195,50,648,504,2010-07-22 05:06:49,2022-09-27 06:18:26,1286,363,2233,27
virt-manager/virt-manager,8270,3,194,76,1567,359,2015-05-22 12:00:20,2022-10-28 01:49:08,306,45,141,6
jupyterhub/zero-to-jupyterhub-k8s,5835,18,194,58,1223,697,2017-04-10 07:25:35,2022-09-28 02:53:29,1197,64,1678,3
syncthing/docs,1003,30,194,33,188,393,2015-05-26 07:38:21,2022-11-15 07:43:31,136,22,631,3
openstack/sahara,6528,11,193,55,193,123,2013-10-05 04:26:15,2022-09-08 01:23:13,0,0,3,0
googlecloudplatform/professional-services,1753,4,193,145,2270,1105,2017-05-18 07:29:27,2022-09-27 07:36:56,135,47,759,15
ethereum/web3.py,3766,7,192,113,3725,1183,2016-04-14 03:59:35,2022-10-03 10:49:17,1203,198,1447,30
jupyter/docker-stacks,3169,2,192,193,6885,2786,2015-07-15 03:30:00,2022-10-03 10:22:37,779,26,1017,2
prompt-toolkit/python-prompt-toolkit,2642,49,191,150,7969,647,2014-01-25 10:12:08,2022-10-25 09:08:20,1003,469,676,65
openstack/python-keystoneclient,2484,11,190,31,192,215,2011-12-22 12:50:05,2022-08-06 12:33:34,0,0,24,0
python-gitlab/python-gitlab,3026,24,189,46,1879,584,2013-02-07 05:23:16,2022-09-29 02:16:59,1075,75,1155,17
sickrage/sickrage,12696,2,188,164,1516,696,2014-03-10 05:20:31,2022-09-25 03:41:24,0,0,2670,0
web2py/web2py,8237,12,188,219,2020,877,2008-11-07 06:08:58,2022-11-17 07:39:56,1042,354,1403,4
ddavness/power-mailinabox,2439,15,188,9,100,17,2020-04-11 04:39:43,2022-10-17 08:11:48,61,31,15,3
python-geeks/automation-scripts,2220,1,188,18,619,390,2020-10-07 02:51:55,2022-11-02 07:09:12,395,19,531,16
tensorflow/addons,1483,20,188,56,1582,592,2018-11-26 11:57:17,2022-11-19 07:06:21,933,214,1840,40
smarthomehub/smartir,1060,2,188,48,1270,715,2019-02-17 12:48:40,2022-10-17 07:42:38,550,46,396,30
textualize/rich,3479,17,187,539,40099,1375,2019-11-10 03:28:09,2022-10-10 09:49:04,916,50,818,14
sunpy/sunpy,16386,2,186,46,737,494,2011-08-06 03:34:08,2022-09-21 08:23:58,1808,262,4591,16
jellyfin/jellyfin-kodi,3910,10,186,23,572,74,2018-12-12 03:58:57,2022-10-04 02:02:51,356,80,315,6
crweiner/hacktoberfest-swag-list,854,14,186,51,1440,523,2018-10-04 11:06:13,2022-11-20 01:01:31,148,2,539,7
flairnlp/flair,4705,47,185,203,12069,1937,2018-06-11 11:04:18,2022-09-30 02:10:08,1975,116,976,8
openstack/designate,4530,11,185,30,147,76,2014-06-28 03:47:32,2022-07-27 01:34:12,0,0,7,0
openstack/octavia,3834,8,185,26,151,135,2014-06-19 10:47:19,2022-11-11 12:11:34,0,0,7,0
mail-in-a-box/mailinabox,1896,6,185,300,11454,1260,2013-08-21 01:56:50,2022-10-19 06:08:43,1510,425,657,36
eternnoir/pytelegrambotapi,2127,1,184,224,6094,1629,2015-06-26 06:56:25,2022-10-03 08:19:36,1010,0,673,1
ranger/ranger,4849,19,183,155,12181,798,2009-06-04 06:41:11,2022-09-30 11:01:03,1856,672,827,155
vyperlang/vyper,5224,7,182,159,4264,708,2016-11-11 08:56:41,2022-09-30 08:21:51,1207,197,1605,37
beeware/toga,4963,2,182,95,3237,547,2014-08-01 09:44:10,2022-09-19 03:28:52,560,93,953,15
facebookresearch/parlai,4250,153,182,287,9470,1928,2017-04-24 05:10:44,2022-10-12 03:58:48,1439,75,3267,12
gallopsled/pwntools,4112,3,182,291,9524,1552,2013-04-29 02:43:03,2022-10-17 09:03:52,907,109,1199,30
bottlepy/bottle,1896,21,182,313,7802,1447,2009-06-30 05:51:30,2022-11-17 05:12:28,807,237,583,79
pycontribs/jira,1504,19,182,80,1639,782,2014-06-28 02:06:53,2022-10-27 12:17:39,627,94,840,34
pre-commit/pre-commit.com,1293,3,182,8,114,239,2014-05-23 12:56:16,2022-08-30 06:47:48,62,3,658,8
owasp/owasp-mastg,7964,13,181,399,9440,2037,2016-09-30 08:22:29,2022-09-26 06:10:37,820,128,1371,3
jelmer/dulwich,4101,71,181,51,1810,376,2009-03-22 05:09:18,2022-11-22 10:16:49,446,67,636,11
praw-dev/praw,3989,2,181,71,2918,449,2010-08-19 04:00:07,2022-10-19 07:42:10,702,8,1199,2
spec-first/connexion,1322,10,181,90,4107,718,2015-05-19 01:05:58,2022-10-26 12:30:58,891,146,715,14
yelp/elastalert,2082,45,180,252,7855,1771,2014-11-24 07:39:19,2022-11-21 05:49:37,2339,1261,930,144
graphql-python/graphene-django,885,2,180,73,3943,713,2016-09-17 11:26:25,2022-10-26 07:10:23,755,131,543,14
plotly/plotly.py,5599,38,179,276,12196,2212,2013-11-21 05:53:08,2022-10-04 12:20:16,2416,1198,1402,75
libertysoft3/saidit,8457,10,178,18,216,39,2017-10-18 07:25:14,2022-11-13 04:26:35,100,53,27,0
ultrabug/py3status,4609,31,178,26,853,251,2013-02-19 02:59:13,2022-10-11 06:31:54,567,5,1590,4
facebookresearch/detectron2,1395,9,178,350,22487,6103,2019-09-05 09:30:20,2022-10-10 06:13:44,3131,246,519,50
keon/algorithms,948,4,178,641,21853,4414,2016-11-17 10:32:08,2022-11-21 11:12:02,156,59,727,142
owasp/owasp-mstg,7919,10,177,396,9271,1991,2016-09-30 08:22:29,2022-08-08 04:36:51,794,115,1323,3
rt-thread/packages,3297,1,177,23,178,261,2017-06-23 11:53:18,2022-09-13 02:59:10,26,2,1460,1
oca/server-tools,2247,10,176,142,510,1218,2014-06-16 06:52:44,2022-09-15 03:07:41,416,129,1982,295
openstack/barbican,3526,13,175,26,219,70,2014-05-23 10:15:27,2022-09-23 09:10:03,0,0,5,0
sukeesh/jarvis,1507,13,175,130,2380,846,2017-03-10 10:09:14,2022-11-22 12:38:12,390,71,615,27
yunohost/yunohost,8370,50,174,64,1347,228,2014-05-16 11:29:11,2022-09-21 09:07:18,0,0,1436,43
networktocode/ntc-templates,1140,6,174,72,850,584,2016-04-27 03:49:07,2022-09-15 07:23:16,227,53,968,70
yourlabs/django-autocomplete-light,2365,57,173,66,1631,454,2012-05-03 11:49:37,2022-09-23 08:22:56,828,197,479,7
gramps-project/gramps,27465,27,172,113,1606,333,2015-01-07 02:51:48,2022-11-21 05:10:38,0,0,1403,73
elastic/apm-agent-python,3381,12,172,266,364,179,2017-07-13 08:48:10,2022-09-29 08:25:07,591,77,1062,16
marshmallow-code/marshmallow,3112,11,172,82,6272,616,2013-11-10 09:32:24,2022-10-09 08:31:20,1141,135,913,32
elastic/elasticsearch-py,1482,30,172,391,3776,1124,2013-05-01 10:47:39,2022-10-30 02:28:35,983,32,1103,7
mher/flower,1299,13,172,144,5456,973,2012-07-08 01:35:09,2022-11-24 11:42:17,849,101,392,17
django-compressor/django-compressor,1595,10,171,51,2615,585,2010-02-05 03:48:14,2022-10-25 06:32:58,627,100,511,17
websocket-client/websocket-client,1198,5,171,88,3112,719,2010-12-28 06:35:25,2022-11-17 04:04:39,572,7,300,3
typeddjango/django-stubs,992,3,171,17,979,277,2018-07-29 05:08:50,2022-09-20 01:42:18,472,190,687,39
gentoo/portage,16798,3,170,75,447,195,2014-01-12 08:30:47,2022-10-07 12:40:53,0,0,919,38
errbotio/errbot,2912,20,170,69,2801,596,2012-05-20 09:13:41,2022-10-20 04:59:22,749,61,852,16
wemake-services/wemake-python-styleguide,2146,4,170,26,2063,357,2018-03-09 09:04:25,2022-11-03 08:37:55,1039,90,1501,7
pytorch/ignite,1481,25,170,59,4100,555,2017-11-23 05:31:21,2022-10-28 01:18:43,1111,112,1614,38
unitedstates/contact-congress,7275,8,169,63,603,221,2013-06-27 03:32:03,2022-09-19 07:03:24,721,18,1533,1
ewels/multiqc,5137,10,169,38,903,498,2015-08-04 01:47:05,2022-11-21 09:51:12,1187,198,612,51
microsoft/nni,2804,67,169,279,12041,1702,2018-06-01 05:51:44,2022-10-03 12:42:44,1727,229,3245,16
nvbn/thefuck,1636,2,169,842,74307,3281,2015-04-08 03:08:04,2022-11-01 01:05:20,654,204,648,61
django-tastypie/django-tastypie,1286,28,169,128,3811,1164,2010-03-29 06:01:45,2022-10-04 11:27:13,819,304,823,104
gnome/meld,5467,16,168,46,818,223,2012-06-03 04:56:24,2022-09-24 12:28:30,0,0,29,0
snapcore/snapcraft,5173,20,168,44,1064,415,2015-10-29 05:23:15,2022-09-26 10:12:43,0,0,3704,16
h5py/h5py,4092,8,168,55,1797,479,2012-09-21 12:40:02,2022-11-18 04:30:57,1350,218,823,23
quantumlib/cirq,3396,57,168,175,3547,800,2017-12-14 11:41:49,2022-09-24 09:02:45,2007,248,3880,32
oauthlib/oauthlib,1644,9,168,70,2476,472,2011-11-19 11:08:51,2022-10-30 10:03:07,357,72,477,11
blcm/blcmods,13290,1,167,141,693,2139,2017-03-12 04:21:03,2022-09-25 01:24:00,0,0,1360,0
datadog/dd-trace-py,4396,161,167,435,356,298,2016-06-20 06:52:23,2022-09-03 10:07:34,558,90,3594,54
tribe29/checkmk,57274,30,166,59,761,319,2019-02-20 12:29:54,2022-08-14 11:12:54,0,0,500,12
rhinstaller/anaconda,37706,90,166,43,430,293,2015-02-02 09:56:45,2022-09-29 10:15:58,0,0,4207,17
freedomofpress/securedrop,12059,545,166,149,3310,657,2012-01-11 07:57:55,2022-08-28 08:54:34,2870,409,3590,14
mailu/mailu,3558,14,166,78,3975,670,2016-01-10 09:35:55,2022-10-03 01:36:12,1440,124,1021,14
kornia/kornia,2091,38,166,114,6966,700,2018-08-22 10:31:37,2022-08-28 06:50:12,600,163,1148,39
geopandas/geopandas,1617,11,166,106,3342,742,2013-06-27 05:03:47,2022-09-29 01:39:07,1343,371,1227,75
carltongibson/django-filter,1260,1,166,69,3857,706,2009-01-30 12:35:57,2022-10-31 05:23:29,771,51,694,34
encode/httpx,1194,14,166,106,9447,619,2019-04-04 12:27:00,2022-10-04 05:55:23,714,39,1216,7
pyeve/eve,3375,40,165,228,6554,752,2012-10-22 07:39:33,2022-11-21 05:50:15,967,21,522,2
giampaolo/psutil,5843,20,164,236,8805,1271,2014-05-23 02:01:48,2022-10-28 11:53:20,1567,205,588,30
sfttech/openage,4157,1,164,415,11316,1082,2013-11-03 10:35:23,2022-10-28 04:43:01,618,222,847,18
openstack/oslo.messaging,2730,15,164,26,145,152,2013-06-30 05:07:21,2022-07-26 12:02:08,0,0,6,0
graphql-python/graphene,1721,23,164,145,7405,796,2015-09-24 09:18:18,2022-10-04 02:13:08,958,110,499,12
apache/couchdb-documentation,1330,33,164,38,145,238,2014-01-17 08:00:08,2022-09-03 06:25:58,130,19,619,4
searxng/searxng,6697,9,163,47,3159,454,2021-04-12 03:18:15,2022-10-04 09:48:08,639,183,1073,23
openstack/mistral,4325,12,163,43,240,111,2013-10-29 08:46:49,2022-07-22 02:09:55,0,0,11,0
ardupilot/pymavlink,2914,9,163,47,309,491,2016-09-03 04:54:27,2022-11-13 10:59:52,218,90,533,61
opennmt/opennmt-py,2605,11,163,167,5720,2129,2017-02-22 07:01:50,2022-09-29 11:20:54,1324,88,883,31
unbit/uwsgi-docs,2436,2,163,40,632,349,2012-10-04 06:56:43,2022-11-14 09:44:53,147,59,368,34
dr-prodigy/python-holidays,1211,2,163,19,842,353,2014-08-24 03:17:18,2022-10-25 08:17:04,293,25,474,20
kserve/kserve,1026,10,163,49,1731,658,2019-03-27 09:14:14,2022-09-26 08:18:16,1150,264,1233,23
ovirt/vdsm,14816,50,162,22,120,158,2012-10-26 06:07:35,2022-09-27 06:38:29,87,58,256,9
openframeworks/ofsite,2919,7,162,36,150,543,2011-12-19 09:45:44,2022-11-20 01:44:18,229,49,540,9
python/python-docs-fr,2007,11,162,30,353,272,2017-05-22 08:40:58,2022-09-22 09:43:08,707,50,1190,8
openstack/python-glanceclient,1468,12,162,17,106,123,2012-03-28 04:37:50,2022-09-17 05:54:08,0,0,4,0
django-import-export/django-import-export,1301,4,162,65,2541,726,2012-11-15 01:12:22,2022-11-03 08:28:07,866,95,628,21
mongodb/mongo-python-driver,5129,18,161,230,3688,1081,2009-01-15 03:18:06,2022-10-03 12:45:57,0,0,1065,11
python-telegram-bot/python-telegram-bot,2412,10,161,603,19538,4288,2015-07-07 03:30:39,2022-08-29 09:54:01,1711,25,1262,3
pytorch/audio,1614,32,161,69,1820,472,2017-05-05 12:38:05,2022-08-26 08:32:47,644,134,2005,43
xingyizhou/centernet2,1337,7,161,21,1119,178,2021-03-15 12:27:22,2022-12-07 11:13:13,83,50,5,5
rootzoll/raspiblitz,7548,21,160,89,1986,464,2018-07-14 10:40:50,2022-09-24 08:04:42,2229,376,1097,26
plone/products.cmfplone,5687,48,160,186,188,174,2011-09-25 01:41:32,2022-10-24 10:02:05,2368,639,1298,6
searx/searx,4551,15,160,313,12214,1666,2013-10-15 04:20:51,2022-11-21 02:47:13,1695,298,1406,25
feast-dev/feast,2865,37,160,71,3714,689,2018-12-10 07:20:15,2022-11-03 09:22:46,976,156,2333,5
sherlock-project/sherlock,1805,1,160,954,35371,4141,2018-12-24 02:30:48,2022-09-13 04:49:58,665,79,696,84
googleapis/google-api-python-client,1511,91,160,284,5986,2232,2014-01-08 09:55:56,2022-09-30 03:38:31,931,61,973,8
opensearch-project/opensearch-py,1387,10,160,19,136,65,2021-07-23 05:56:15,2022-10-27 03:03:33,98,38,128,16
chubin/wttr.in,1254,3,160,223,19894,955,2015-12-26 09:03:43,2022-11-25 07:58:21,516,210,284,8
opsdroid/opsdroid,1213,36,160,28,714,376,2016-07-23 08:18:56,2022-11-20 08:23:12,498,86,1456,9
psychopy/psychopy,19325,3,159,66,1307,732,2010-09-01 05:00:04,2022-10-02 05:43:23,1482,206,3670,26
nilearn/nilearn,9670,13,159,78,892,479,2011-01-09 07:02:23,2022-09-30 06:47:50,1625,236,1748,25
google/flax,2984,84,159,73,3461,398,2020-01-10 09:48:37,2022-08-29 06:52:29,549,97,1388,32
ktbyers/netmiko,2577,199,159,200,2927,1114,2014-11-28 09:42:52,2022-11-21 03:32:37,1828,204,1097,29
falconry/falcon,1860,14,159,266,8930,899,2012-12-06 06:17:51,2022-11-02 10:46:43,969,167,1121,10
open-telemetry/opentelemetry-python,1328,60,159,34,1049,370,2019-05-07 09:13:30,2022-10-02 07:49:37,1194,143,1614,19
mdanalysis/mdanalysis,6705,67,158,43,887,480,2015-04-04 12:39:41,2022-10-08 03:52:19,1936,394,1917,55
mycroftai/mycroft-core,4920,67,157,290,5972,1226,2016-05-20 02:11:07,2022-10-12 10:25:50,1029,150,2073,34
zeromq/pyzmq,3235,1,157,102,3173,608,2010-07-21 07:20:37,2022-10-09 06:31:45,953,104,842,6
ycm-core/youcompleteme,3012,10,157,573,24315,2774,2012-04-16 03:12:14,2022-10-12 08:31:01,3141,5,925,1
openstack/tacker,2674,12,157,33,121,120,2014-06-27 01:11:56,2022-07-22 02:10:02,0,0,12,0
pika/pika,2460,1,156,110,3083,822,2009-10-19 11:22:02,2022-11-21 01:20:10,805,21,577,1
napalm-automation/napalm,5092,28,155,161,1945,536,2015-03-23 02:43:45,2022-09-30 01:28:27,570,121,1175,25
gpodder/gpodder,5044,14,155,43,1044,196,2011-04-28 08:53:14,2022-10-02 04:42:00,778,227,613,27
mwaskom/seaborn,3045,17,155,247,9855,1658,2012-06-18 06:41:19,2022-09-29 07:46:40,2132,97,907,9
harshcasper/rotten-scripts,1659,27,155,17,1191,458,2020-02-15 08:53:36,2022-11-03 09:52:15,577,37,815,61
s3tools/s3cmd,1828,11,154,107,3973,867,2011-06-07 02:08:24,2022-09-15 07:17:04,826,244,451,45
gnome/pygobject,4111,63,153,11,147,34,2012-06-02 04:05:12,2022-11-24 06:41:04,0,0,3,0
openstack/zaqar,2637,11,153,19,129,71,2013-09-14 05:40:21,2022-09-15 04:42:25,0,0,4,0
thumbor/thumbor,2358,13,153,197,9228,797,2011-03-16 05:30:05,2022-11-21 09:50:10,917,16,608,15
openatv/enigma2,31844,20,152,61,155,291,2012-06-27 08:29:51,2022-09-21 02:46:43,447,88,2156,7
twisted/twisted,28092,1872,152,175,4703,1083,2011-07-01 08:40:42,2022-08-17 01:32:28,9846,2612,1752,99
robotframework/robotframework,13688,15,152,478,7317,2022,2014-06-27 11:10:38,2022-09-24 09:36:47,3891,201,587,46
jazzband/pip-tools,1759,4,152,105,6255,534,2012-09-10 08:50:26,2022-09-29 08:31:53,851,113,799,30
horovod/horovod,1265,102,152,331,12821,2130,2017-08-09 07:39:59,2022-11-03 11:37:24,2093,331,1484,6
lightning-ai/metrics,915,12,152,27,1088,226,2020-12-22 08:02:42,2022-10-03 03:51:20,438,41,664,13
openstack/murano,4148,17,151,23,109,64,2013-05-10 01:10:31,2022-09-17 01:10:19,0,0,6,0
carlospolop/hacktricks,2850,2,151,189,5065,1439,2020-07-15 03:40:37,2022-08-29 01:24:54,38,8,360,5
sirver/ultisnips,1573,10,151,88,6904,683,2011-12-30 07:07:24,2022-10-28 01:49:51,1103,99,396,1
kubernetes-client/python,1535,29,151,137,5179,2807,2016-10-31 08:08:03,2022-10-01 05:35:03,1140,89,767,20
pyload/pyload,7504,5,150,136,2672,664,2013-02-10 01:12:02,2022-10-26 07:16:21,2969,121,1197,16
pycqa/astroid,3968,4,150,24,420,230,2015-12-08 09:12:00,2022-09-07 01:28:16,722,141,1048,20
spesmilo/electrumx,2064,3,150,33,300,256,2017-12-14 09:38:17,2022-11-21 05:21:21,102,36,96,17
gerritcodereview/git-repo,1650,5,150,14,194,120,2015-12-10 09:33:10,2022-08-24 02:57:57,0,0,3,0
hipo/university-domains-list,833,2,150,24,946,311,2014-10-22 06:07:51,2022-10-26 04:13:22,92,35,331,2
vispy/vispy,7118,6,149,122,2970,601,2013-03-21 06:43:22,2022-11-22 12:04:16,1344,281,1088,34
rdflib/rdflib,4626,8,149,93,1784,503,2012-02-03 05:49:13,2022-11-03 02:06:35,1057,154,942,28
conda-forge/conda-forge.github.io,3739,3,149,34,101,228,2015-07-12 01:22:31,2022-10-10 03:03:21,757,267,1042,53
aws/chalice,2361,10,149,243,9253,965,2016-05-27 11:27:13,2022-10-16 11:03:57,1158,355,827,58
hgrecco/pint,2347,5,149,40,1873,404,2012-07-13 04:27:11,2022-11-02 08:18:19,1061,287,570,31
cobrateam/splinter,2162,5,149,95,2576,512,2010-09-18 08:59:15,2022-11-17 04:17:01,509,43,593,6
yelp/paasta,12522,1219,148,90,1619,222,2015-10-26 09:35:53,2022-09-17 10:12:13,318,66,3071,56
quodlibet/quodlibet,11211,27,148,52,1155,197,2015-03-14 09:16:31,2022-10-04 03:20:00,3334,713,778,22
astropy/astroquery,8123,2,148,30,616,343,2012-06-25 08:52:07,2022-09-20 02:26:07,1109,423,1421,54
hylang/hy,3778,2,148,123,4351,353,2012-12-15 09:20:51,2022-09-30 02:02:46,1068,63,1182,0
kedro-org/kedro,2001,31,148,102,7510,690,2019-04-18 10:29:56,2022-08-22 12:31:02,863,144,783,25
freeipa/freeipa,15374,28,147,52,683,300,2012-05-15 08:34:40,2022-09-25 10:18:07,0,0,6490,31
compiler-explorer/infra,2936,7,147,14,244,173,2014-04-16 03:05:13,2022-08-30 10:57:40,201,59,593,3
tobi-wan-kenobi/bumblebee-status,2712,1,147,19,1031,210,2016-10-30 02:07:20,2022-10-20 04:07:57,459,6,471,0
jazzband/django-simple-history,1145,13,147,38,1723,411,2011-03-06 10:42:19,2022-11-18 09:00:20,488,102,572,16
boto/botocore,9105,8,146,62,1173,941,2012-11-13 01:25:36,2022-09-03 06:30:24,916,107,1831,50
dpgaspar/flask-appbuilder,3856,119,146,158,3963,1235,2013-11-09 09:13:29,2022-11-21 12:13:35,1167,95,784,22
firewalld/firewalld,3582,29,146,33,611,223,2015-03-11 10:51:38,2022-10-26 03:16:09,622,160,413,14
sigmavirus24/github3.py,3344,2,145,32,1111,397,2012-03-13 07:58:53,2022-09-26 03:39:34,474,48,618,2
openstates/openstates-scrapers,18449,77,144,54,778,427,2009-02-26 10:49:19,2022-09-23 08:39:53,1508,1,2597,5
zim-desktop-wiki/zim-desktop-wiki,2925,3,144,83,1575,323,2017-04-07 06:24:29,2022-09-27 10:37:45,1597,285,309,26
cog-creators/red-discordbot,2503,9,144,204,3442,1954,2016-01-02 09:27:12,2022-09-26 04:22:29,1972,183,3671,111
analogj/lexicon,1838,50,144,29,1267,272,2016-02-02 07:53:04,2022-10-24 10:06:06,250,64,1203,13
wmcnally/kapao,1709,2,144,24,638,90,2021-09-06 06:27:34,2022-11-18 12:15:37,81,18,3,1
oca/account-financial-tools,1465,11,144,99,226,621,2014-06-16 10:58:57,2022-10-03 04:29:10,207,63,1266,146
opencomputeproject/sai,1218,20,144,127,356,388,2015-09-25 04:19:31,2022-09-30 05:18:03,138,72,1477,68
python/planet,1200,2,144,16,124,166,2014-09-19 04:26:25,2022-11-12 11:45:56,280,16,249,1
jellyfin/jellyfin-mpv-shim,984,10,144,21,981,73,2020-01-11 06:44:41,2022-09-22 06:56:29,270,89,26,1
plamere/spotipy,592,2,144,79,4096,821,2014-04-05 01:11:25,2022-10-20 12:49:04,538,88,333,13
anitab-org/mentorship-backend,376,14,144,17,170,435,2018-04-26 03:35:18,2022-09-24 12:53:55,483,82,671,36
openedx/ecommerce,4033,244,143,126,133,217,2015-02-02 06:55:15,2022-11-11 05:24:45,0,0,3802,46
openstack/ironic-python-agent,2382,21,143,14,104,120,2014-03-21 08:49:46,2022-07-22 02:13:19,0,0,7,0
magenta/magenta,1417,4,143,778,17935,3669,2016-05-05 08:10:40,2022-10-09 10:35:50,895,312,1122,39
deepchem/deepchem,7952,12,142,152,3864,1384,2015-09-24 11:20:28,2022-09-27 02:32:28,1455,432,1615,59
nixos/nixops,3563,17,142,62,1169,364,2011-10-24 03:49:58,2022-09-30 04:27:33,832,302,592,17
pycqa/flake8,2292,4,142,32,2339,235,2014-09-13 05:06:24,2022-10-09 12:03:31,1444,28,262,2
facebook/prophet,744,3,141,425,15187,4323,2016-11-16 01:50:08,2022-11-21 10:49:17,1903,273,383,6
aws-samples/aws-cdk-examples,395,8,141,75,3480,1506,2019-02-01 11:16:42,2022-09-12 05:33:41,252,86,457,61
stackstorm/st2,21056,80,140,163,4956,673,2014-04-23 12:51:34,2022-09-30 01:03:01,1443,459,4110,24
rpm-software-management/mock,3443,10,140,25,320,188,2016-08-16 07:24:01,2022-09-22 12:04:43,411,63,563,1
supervisor/supervisor,2388,1,140,236,7574,1200,2010-12-08 12:48:48,2022-12-08 04:09:41,1091,118,463,25
returntocorp/semgrep-rules,2234,171,140,24,413,217,2020-01-22 12:11:56,2022-09-01 11:34:10,480,22,1870,12
etianen/django-reversion,1487,4,140,58,2795,470,2010-05-31 03:32:25,2022-11-01 02:38:59,626,13,299,0
jazzband/django-pipeline,1179,3,140,26,1446,381,2011-06-03 07:01:34,2022-10-01 02:50:09,439,121,335,32
canonical/microk8s,1063,48,140,110,6892,681,2018-05-09 09:19:36,2022-10-31 11:47:51,2026,518,1496,12
exaile/exaile,8450,6,139,29,323,79,2014-08-29 11:26:55,2022-10-23 11:45:53,416,78,398,12
nicolargo/glances,4527,32,139,493,21871,1336,2011-12-04 08:49:15,2022-12-09 09:19:49,1582,240,571,3
libretro/libretro-database,2966,7,139,52,537,667,2014-12-15 04:32:46,2022-10-09 10:38:18,301,65,1022,2
kyuupichan/electrumx,2035,2,139,59,670,801,2016-10-08 08:00:49,2022-11-20 06:49:17,583,9,476,2
python-markdown/markdown,1526,18,139,77,3004,767,2010-05-29 02:59:45,2022-09-14 12:56:11,786,31,500,5
getsentry/sentry-python,1502,46,139,60,1331,310,2018-06-18 10:51:10,2022-09-20 03:11:42,719,152,897,28
rytilahti/python-miio,830,5,139,87,2317,443,2017-03-05 05:41:43,2022-09-29 05:20:59,699,187,801,25
yt-project/yt,32283,7,138,20,355,229,2017-04-19 06:16:11,2022-09-16 05:03:44,2152,294,1982,33
dbcli/pgcli,2310,4,138,136,10698,486,2014-10-12 05:32:33,2022-10-25 10:24:50,651,143,714,9
zalando/patroni,2045,10,138,121,4971,650,2015-07-08 09:27:19,2022-10-03 01:27:53,1439,48,984,14
fsspec/filesystem_spec,2025,2,138,21,478,212,2018-04-23 04:45:08,2022-09-25 07:02:25,466,170,584,13
imerica/dj-rest-auth,848,22,138,15,1121,207,2020-02-28 07:35:48,2022-12-09 04:40:34,298,117,162,20
burnash/gspread,1150,4,137,156,6112,875,2011-12-02 10:46:20,2022-10-17 10:11:57,759,50,358,3
overviewer/minecraft-overviewer,3028,27,136,115,3082,476,2010-08-28 09:44:16,2022-09-30 12:19:20,1505,307,563,28
apache/bigtop,2907,55,136,57,457,425,2011-08-04 04:09:56,2022-11-01 05:41:05,0,0,1034,189
